상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800002811,PRO.COM,,S2,수리·개인,S202,통신장비 수리,S20201,핸드폰/통신장비 수리업,S95120,통신장비 수리업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111015700,인의동,1111015700101120002,1,대지,112,2.0,서울특별시 종로구 인의동 112-2,111103005008,서울특별시 종로구 창경궁로,109,,1111015700101120002000001,세운스퀘어,서울특별시 종로구 창경궁로 109,110410,3137,,3,,126.9970794676,37.5723491989057
MA010120220800075837,허니비투어주,,N1,시설관리·임대,N105,여행사·보조,N10599,기타 여행 보조/예약 서비스업,N75290,기타 여행 보조 및 예약 서비스업,11,서울특별시,11110,종로구,11110530,사직동,1111011900,세종로,1111011900102110000,1,대지,211,,서울특별시 종로구 세종로 211,111102005001,서울특별시 종로구 세종대로,149,,1111012000101500000000347,,서울특별시 종로구 세종대로 149,110730,3186,,20,,126.976149871263,37.5695717604723
MA010120220811081579,모리노리,,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,G47222,담배 소매업,11,서울특별시,11560,영등포구,11560550,당산1동,1156011300,당산동3가,1156011300102180000,1,대지,218,,서울특별시 영등포구 당산동3가 218,115604154111,서울특별시 영등포구 당산로32길,3,,1156011300102180000029080,,서울특별시 영등포구 당산로32길 3,150803,7257,,5,,126.897255702481,37.5264977769333
MA010120220813664313,아이뚜리,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,컴퓨터 및 주변장치; 소프트웨어 소매업,11,서울특별시,11530,구로구,11530540,구로3동,1153010200,구로동,1153010200101700010,1,대지,170,10.0,서울특별시 구로구 구로동 170-10,115304148340,서울특별시 구로구 디지털로33길,48,,1153010200101700010022686,대륭포스트타워7차,서울특별시 구로구 디지털로33길 48,152847,8377,,9,,126.894505324382,37.4872565986083
MA010120220806699845,유명숯불갈비,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11500,강서구,11500570,화곡4동,1150010300,화곡동,1150010300108390011,1,대지,839,11.0,서울특별시 강서구 화곡동 839-11,115003005063,서울특별시 강서구 곰달래로,233,,1150010300108390011020946,,서울특별시 강서구 곰달래로 233,157902,7738,,2,,126.858860516951,37.5319812697821
MA010120220802310737,안산소비조합,,G2,소매,G218,장식품 소매,G21802,기념품점,G47842,기념품; 관광 민예품 및 장식용품 소매업,11,서울특별시,11260,중랑구,11260600,중화1동,1126010300,중화동,1126010300101570008,1,대지,157,8.0,서울특별시 중랑구 중화동 157-8,112604118083,서울특별시 중랑구 동일로124길,70,4.0,1126010300101570008013241,,서울특별시 중랑구 동일로124길 70-4,131876,2094,,,,127.083005114381,37.5996471636244
MA010120220801006787,한유에너지행운주유소주,,G2,소매,G214,연료 소매,G21401,주유소,G47711,운송장비용 주유소 운영업,11,서울특별시,11620,관악구,11620575,행운동,1162010100,봉천동,1162010100116790030,1,대지,1679,30.0,서울특별시 관악구 봉천동 1679-30,116202000003,서울특별시 관악구 남부순환로,1883,,1162010100116790030032683,,서울특별시 관악구 남부순환로 1883,151849,8742,,,,126.959163410228,37.4790974613739
MA010120220803946321,헤어클릭,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,11,서울특별시,11320,도봉구,11320511,창1동,1132010700,창동,1132010700103800001,1,대지,380,1.0,서울특별시 도봉구 창동 380-1,113203000004,서울특별시 도봉구 덕릉로,358,,1132010700103800001018419,주공종합상가,서울특별시 도봉구 덕릉로 358,132911,1488,,2,,127.048790971908,37.6451210768733
MA010120220805014005,네일은조이,,S2,수리·개인,S207,이용·미용,S20703,네일숍,S96119,기타 미용업,11,서울특별시,11620,관악구,11620615,중앙동,1162010100,봉천동,1162010100100490001,1,대지,49,1.0,서울특별시 관악구 봉천동 49-1,116204160711,서울특별시 관악구 중앙길,35,2.0,1162010100100490001026307,우측,서울특별시 관악구 중앙길 35-2,151811,8746,,1,,126.952523606073,37.4843028110938
MA010120220809620318,동원기사식당,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11470,양천구,11470680,신정7동,1147010100,신정동,1147010100102100006,1,대지,210,6.0,서울특별시 양천구 신정동 210-6,114703005065,서울특별시 양천구 목동남로,64,1.0,1147010100102100006000001,,서울특별시 양천구 목동남로 64-1,158851,8101,,1,,126.866491867707,37.5096452863503
