상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220700024169,도곡상회,,G2,소매,G205,식료품 소매,G20501,곡물/곡분 소매업,G47211,곡물; 곡분 및 가축 사료 소매업,11,서울특별시,11680,강남구,11680650,역삼2동,1168010100,역삼동,1168010100107650005,1,대지,765,5.0,서울특별시 강남구 역삼동 765-5,116804166485,서울특별시 강남구 선릉로63길,7,,1168010100107650005024374,,서울특별시 강남구 선릉로63길 7,135927,6218,,2,,127.05173662026,37.497275529502
MA010120220700013630,청담경일태권도,,P1,교육,P106,기타 교육,P10601,태권도/무술학원,P85613,레크리에이션 교육기관,11,서울특별시,11680,강남구,11680565,청담동,1168010400,청담동,1168010400101230044,1,대지,123,44.0,서울특별시 강남구 청담동 123-44,116804166538,서울특별시 강남구 압구정로79길,35,,1168010400101230044017631,,서울특별시 강남구 압구정로79길 35,135955,6012,,1,,127.050070457875,37.5254416418225
MA010120220700002183,기쁨내과,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11740,강동구,11740660,성내3동,1174010800,성내동,1174010800104400000,1,대지,440,,서울특별시 강동구 성내동 440,117402000006,서울특별시 강동구 양재대로,1319,,1174010800104400000004039,대성빌딩,서울특별시 강동구 양재대로 1319,134846,5408,,6,,127.134439064819,37.5241954271851
MA010120220700004115,성모탑정형외과의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11440,마포구,11440590,용강동,1144010400,도화동,1144010400105440000,1,대지,544,,서울특별시 마포구 도화동 544,114403113022,서울특별시 마포구 큰우물로,76,,1144010400105440000003652,고려,서울특별시 마포구 큰우물로 76,121704,4167,,1,,126.945947690867,37.5407659129121
MA010120220806903716,맹커피숍,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,11,서울특별시,11380,은평구,11380570,대조동,1138010600,대조동,1138010600100120012,1,대지,12,12.0,서울특별시 은평구 대조동 12-12,113803111004,서울특별시 은평구 불광로,27,,1138010600100120032025831,,서울특별시 은평구 불광로 27,122837,3396,,지,,126.928817890541,37.6107731011514
MA010120220814079672,원스포츠클럽,,P1,교육,P106,기타 교육,P10603,요가/필라테스 학원,P85612,기타 스포츠 교육기관,11,서울특별시,11620,관악구,11620545,청림동,1162010100,봉천동,1162010100117170003,1,대지,1717,3.0,서울특별시 관악구 봉천동 1717-3,116204160740,서울특별시 관악구 청림6길,3,,1162010100117170003000001,관악푸르지오상가,서울특별시 관악구 청림6길 3,151053,8734,,,,126.959938994031,37.487558197799
MA010120220807887159,호작,,M1,과학·기술,M112,전문 디자인,M11203,시각 디자인업,M73203,시각 디자인업,11,서울특별시,11290,성북구,11290705,종암동,1129013500,종암동,1129013500100080229,1,대지,8,229.0,서울특별시 성북구 종암동 8-229,112904121651,서울특별시 성북구 종암로10길,45,,1129013500100080229020947,서원주택,서울특별시 성북구 종암로10길 45,136858,2800,,2,,127.037922153495,37.595678868729
MA010120220700018002,감자와눈사람여성의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11500,강서구,11500603,가양1동,1150010500,마곡동,1150010500107590002,1,대지,759,2.0,서울특별시 강서구 마곡동 759-2,115003155051,서울특별시 강서구 마곡중앙5로,22,,1150010500107590002000001,,서울특별시 강서구 마곡중앙5로 22,157805,7788,,5,,126.825300759838,37.5672464841078
MA010120220700015140,근이네야채가게,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,채소; 과실 및 뿌리작물 소매업,11,서울특별시,11305,강북구,11305535,미아동,1130510100,미아동,1130510100103010062,1,대지,301,62.0,서울특별시 강북구 미아동 301-62,113053108002,서울특별시 강북구 솔매로,90,1.0,1130510100103010062030811,,서울특별시 강북구 솔매로 90-1,142812,1169,,1,,127.022259317931,37.6251632289839
MA010120220700025652,하늘이네,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,채소; 과실 및 뿌리작물 소매업,11,서울특별시,11350,노원구,11350695,상계6.7동,1135010500,상계동,1135010500107460005,1,대지,746,5.0,서울특별시 노원구 상계동 746-5,113503000001,서울특별시 노원구 동일로,1355,,1135010500107460005001167,상계주공2단지,서울특별시 노원구 동일로 1355,139831,1763,,1,,127.061315425114,37.6497192577366
MA010120220700034470,마포청과,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,채소; 과실 및 뿌리작물 소매업,11,서울특별시,11440,마포구,11440585,도화동,1144010700,마포동,1144010700101880001,1,대지,188,1.0,서울특별시 마포구 마포동 188-1,114404139164,서울특별시 마포구 마포대로4길,12,,1144010700101880001004184,,서울특별시 마포구 마포대로4길 12,121812,4176,,1,,126.94627722543,37.5388199034253
MA010120220700013080,예성피아노교습소,,P1,교육,P106,기타 교육,P10609,음악학원,P85613,레크리에이션 교육기관,11,서울특별시,11290,성북구,11290660,길음1동,1129013400,길음동,1129013400112760000,1,대지,1276,,서울특별시 성북구 길음동 1276,112903107003,서울특별시 성북구 동소문로,248,,1129013400112760000026337,돈암삼부아파트,서울특별시 성북구 동소문로 248,136757,2735,,2,,127.02456307137,37.6034669660448
MA010120220700021341,플라톤아카데미불광독서논술교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,11,서울특별시,11380,은평구,11380520,불광1동,1138010300,불광동,1138010300106010003,1,대지,601,3.0,서울특별시 은평구 불광동 601-3,113804133087,서울특별시 은평구 불광로2길,6,1.0,1138010300106010003040246,우호,서울특별시 은평구 불광로2길 6-1,122871,3368,,1,,126.932441130317,37.6118654275799
MA010120220700034379,강서척정형외과,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11500,강서구,11500591,화곡6동,1150010300,화곡동,1150010300109980009,1,대지,998,9.0,서울특별시 강서구 화곡동 998-9,115003005069,서울특별시 강서구 화곡로,301,,1150010300109980009015820,원풍빌딩,서울특별시 강서구 화곡로 301,157916,7686,,2,,126.848786211023,37.5512862175553
MA010120220700027238,프레쉬과일,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,채소; 과실 및 뿌리작물 소매업,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1121510100100410037,1,대지,41,37.0,서울특별시 광진구 중곡동 41-37,112153104007,서울특별시 광진구 능동로,356,,1121510100100410037000478,,서울특별시 광진구 능동로 356,143885,4921,,,,127.08192105209,37.5610944051846
MA010120220700012530,참튼튼병원,,Q1,보건의료,Q101,병원,Q10102,일반병원,Q86102,일반병원,11,서울특별시,11530,구로구,11530540,구로3동,1153010200,구로동,1153010200111260034,1,대지,1126,34.0,서울특별시 구로구 구로동 1126-34,115302005010,서울특별시 구로구 시흥대로,547,,1153010200111260034000001,금강빌딩,서울특별시 구로구 시흥대로 547,152880,8392,,,,126.900391782974,37.4821349719258
MA010120220700001496,가양성모내과의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11500,강서구,11500520,등촌1동,1150010200,등촌동,1150010200106280006,1,대지,628,6.0,서울특별시 강서구 등촌동 628-6,115004145550,서울특별시 강서구 화곡로68길,3,,1150010200106280006027141,,서울특별시 강서구 화곡로68길 3,157838,7548,,,,126.854734006208,37.5595828561691
MA010120220700024552,온유마취통증의학과의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11140,중구,11140550,명동,1114010600,남대문로1가,1114010600100270001,1,대지,27,1.0,서울특별시 중구 남대문로1가 27-1,111403101006,서울특별시 중구 을지로,51,,1114010500100060000019258,,서울특별시 중구 을지로 51,100091,4539,,4,,126.983677992578,37.5664916359649
MA010120220700027314,성모튼튼신경외과의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11380,은평구,11380690,진관동,1138011400,진관동,1138011400100690000,1,대지,69,,서울특별시 은평구 진관동 69,113803111011,서울특별시 은평구 진관3로,20,,1138011400100690000000001,메디컬,서울특별시 은평구 진관3로 20,122200,3306,,3,,126.918899977154,37.6389135296135
MA010120220700031782,공릉성모마취통증의학과의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11350,노원구,11350600,공릉2동,1135010300,공릉동,1135010300104080006,1,대지,408,6.0,서울특별시 노원구 공릉동 408-6,113503005050,서울특별시 노원구 공릉로,181,,1135010300104080006014661,외,서울특별시 노원구 공릉로 181,139804,1835,,4,,127.079454701569,37.6259494657443
MA010120220700013369,리얼원미디어,,M1,과학·기술,M115,기타 전문 과학,M11502,번역/통역 서비스업,M73902,번역 및 통역 서비스업,11,서울특별시,11620,관악구,11620575,행운동,1162010100,봉천동,1162010100100290022,1,대지,29,22.0,서울특별시 관악구 봉천동 29-22,116204160748,서울특별시 관악구 행운1마길,16,,1162010100100300025033206,,서울특별시 관악구 행운1마길 16,151809,8737,,,,126.955509027249,37.4834930653481
MA010120220700003416,삼성마음친구정신건강의학과,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11680,강남구,11680750,수서동,1168011500,수서동,1168011500107140000,1,대지,714,,서울특별시 강남구 수서동 714,116804166081,서울특별시 강남구 광평로51길,8,,1168011500107140000026893,로얄프라자,서울특별시 강남구 광평로51길 8,135884,6349,,2,,127.102488521688,37.488367483961
MA010120220700029125,장안통증의학과의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11230,동대문구,11230650,장안1동,1123010600,장안동,1123010600103360000,1,대지,336,,서울특별시 동대문구 장안동 336,112303105011,서울특별시 동대문구 장안벚꽃로,107,,1123010600103360000016110,장안현대홈타운,서울특별시 동대문구 장안벚꽃로 107,130719,2638,,3,,127.076362734593,37.5711172043931
MA010120220700027479,푸영어교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85631,외국어학원,11,서울특별시,11410,서대문구,11410660,홍은1동,1141011800,홍은동,1141011800100370003,1,대지,37,3.0,서울특별시 서대문구 홍은동 37-3,114104136176,서울특별시 서대문구 세검정로1길,113,,1141011800100370003013135,,서울특별시 서대문구 세검정로1길 113,120101,3611,,1,,126.946146005972,37.5953753474851
MA010120220700004702,강남연세안과의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11680,강남구,11680640,역삼1동,1168010100,역삼동,1168010100107050030,1,대지,705,30.0,서울특별시 강남구 역삼동 705-30,116803122010,서울특별시 강남구 테헤란로,339,,1168010100107050029022378,,서울특별시 강남구 테헤란로 339,135922,6150,,4,,127.048597731645,37.5048182816766
MA010120220700016121,다인정형외과의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11740,강동구,11740660,성내3동,1174010800,성내동,1174010800104150008,1,대지,415,8.0,서울특별시 강동구 성내동 415-8,117402000006,서울특별시 강동구 양재대로,1377,,1174010800104150008003942,삼원빌딩,서울특별시 강동구 양재대로 1377,134844,5376,,3,,127.136258222106,37.5292209301351
